,user_name,input_name,flow_year,flow_month,monthly_flow
410,dulles,DULLES   -   S -110,2022,DECEMBER,22.92
411,dulles,DULLES   -   S -110,2023,JANUARY,22.59
412,dulles,DULLES   -   S -110,2023,FEBRUARY,19.73
413,dulles,DULLES   -   S -110,2023,MARCH,20.18
414,dulles,DULLES   -   S -110,2023,APRIL,19.71
415,dulles,DULLES   -   S -110,2023,MAY,27.57
416,dulles,DULLES   -   S -110,2023,JUNE,21.58
417,dulles,DULLES   -   S -110,2023,JULY,35.78
418,dulles,DULLES   -   S -110,2023,AUGUST,24.02
419,dulles,DULLES   -   S -110,2023,SEPTEMBER,24.46
420,dulles,DULLES   -  S -14,2022,OCTOBER,1.28
