user,year,month,input,flow
dulles,2022,MAY,DULLES   -   S -110,28.40
dulles,2022,JUNE,DULLES   -   S -110,27.97
dulles,2022,JULY,DULLES   -   S -110,22.62
dulles,2022,AUGUST,DULLES   -   S -110,26.84
dulles,2022,SEPTEMBER,DULLES   -   S -110,21.17
dulles,2022,OCTOBER,DULLES   -   S -110,23.95
dulles,2022,NOVEMBER,DULLES   -   S -110,18.92
dulles,2022,DECEMBER,DULLES   -   S -110,22.92
dulles,2023,JANUARY,DULLES   -   S -110,22.59
dulles,2023,FEBRUARY,DULLES   -   S -110,19.73
dulles,2023,MARCH,DULLES   -   S -110,20.18
dulles,2023,APRIL,DULLES   -   S -110,19.71
dulles,2023,MAY,DULLES   -   S -110,27.57
dulles,2023,JUNE,DULLES   -   S -110,21.58
dulles,2023,JULY,DULLES   -   S -110,35.78
dulles,2023,AUGUST,DULLES   -   S -110,24.02
dulles,2023,SEPTEMBER,DULLES   -   S -110,24.46
dulles,1997,OCTOBER,DULLES   -  S -14,
dulles,1997,NOVEMBER,DULLES   -  S -14,
dulles,1997,DECEMBER,DULLES   -  S -14,
dulles,1998,JANUARY,DULLES   -  S -14,
dulles,1998,FEBRUARY,DULLES   -  S -14,
dulles,1998,MARCH,DULLES   -  S -14,
dulles,1998,APRIL,DULLES   -  S -14,
dulles,1998,MAY,DULLES   -  S -14,
dulles,1998,JUNE,DULLES   -  S -14,
dulles,1998,JULY,DULLES   -  S -14,
dulles,1998,AUGUST,DULLES   -  S -14,
dulles,1998,SEPTEMBER,DULLES   -  S -14,
dulles,1998,OCTOBER,DULLES   -  S -14,
dulles,1998,NOVEMBER,DULLES   -  S -14,
dulles,1998,DECEMBER,DULLES   -  S -14,
dulles,1999,JANUARY,DULLES   -  S -14,
dulles,1999,FEBRUARY,DULLES   -  S -14,
dulles,1999,MARCH,DULLES   -  S -14,
dulles,1999,APRIL,DULLES   -  S -14,
dulles,1999,MAY,DULLES   -  S -14,
dulles,1999,JUNE,DULLES   -  S -14,
dulles,1999,JULY,DULLES   -  S -14,
dulles,1999,AUGUST,DULLES   -  S -14,
dulles,1999,SEPTEMBER,DULLES   -  S -14,
dulles,1999,OCTOBER,DULLES   -  S -14,
dulles,1999,NOVEMBER,DULLES   -  S -14,
dulles,1999,DECEMBER,DULLES   -  S -14,
