ID,type,name,Lat,Lon,state,capacity,date start,status,usmh,dsmh,dia,slope,length,material,shape,usstation,dsstation,unit
,manhole,313,39.03009846,-77.36430947,,,,,313,312,42,0.0014,571,RCP,Round,9495,8793,16
,manhole,314,39.02973624,-77.36583797,,,,,314,313,36,0.003,454,RCP,Round,9935,9495,16
,manhole,315,39.02907023,-77.36737013,,,,,315,314,36,0.003,498,RCP,Round,10466,9935,16
,manhole,316,39.02769041,-77.36838286,,,,,316,315,36,0.003,579,RCP,Round,11070,10466,16
,manhole,317,39.02638577,-77.36837645,,,,,317,316,36,0.0026,475,RCP,Round,11542,11070,16
,manhole,318,39.02513775,-77.36837014,,,,,318,317,36,0.0026,455,RCP,Round,11997,11542,16
,manhole,319,39.02368507,-77.36913153,,,,,319,318,36,0.0026,572,RCP,Round,12508,11997,16
,manhole,320,39.02236531,-77.36885695,,,,,320,319,36,0.0026,487,RCP,Round,12996,12508,16
,manhole,321,39.02086714,-77.36857363,,,,,321,320,36,0.0026,552,RCP,Round,13548,12996,16
,manhole,322,39.01920854,-77.36829834,,,,,322,321,36,0.0026,609,RCP,Round,14091,13548,16
,manhole,323,39.01783534,-77.36845442,,,,,323,322,36,0.0024,502,RCP,Round,14595,14091,16
,manhole,324,39.01626851,-77.36901715,,,,,324,323,36,0.0024,593,RCP,Round,15194,14595,16
,manhole,325,39.01479236,-77.36948174,,,,,325,324,36,0.0024,554,RCP,Round,15794,15194,16
,manhole,400,39.045697,-77.27547184,,,,,400,31,39,0.00085,3393,RCP,Round,18,15794,16/13
,manhole,401,39.04517324,-77.27337218,,,,,401,400,39,0.00085,626,RCP,Round,607,18,13
,manhole,402,39.04366706,-77.27036394,,,,,402,401,39,0.00085,1015,RCP,Round,1611,607,13
,manhole,403,39.04227749,-77.2675823,,,,,403,402,39,0.00085,938,RCP,Round,2585,1611,13
,manhole,404,39.04387752,-77.26521705,,,,,404,403,54,0.002,889,RCP,Round,3473,2585,13
,manhole,405,39.04387752,-77.26521705,,,,,405,404,36,0.0012,492,RCP,Round,3975,3473,13
,manhole,406,39.04330666,-77.26200219,,,,,406,405,36,0.0012,448,RCP,Round,4484,3975,13
,manhole,407,39.04378753,-77.26043105,,,,,407,406,36,0.0012,479,RCP,Round,4981,4484,13
,manhole,408,39.04816854,-77.28041059,,,,,408,400,66,0.0008,1667,RCP,Round,1675,4981,13/14
,manhole,409,39.05177809,-77.28514621,,,,,409,408,60,0.0075,1881,RCP,Round,3588,1675,14
,manhole,410,39.05501608,-77.29051276,,,,,410,409,60,0.0075,1927,RCP,Round,5550,3588,14
,manhole,411,39.05818961,-77.29502212,,,,,411,410,60,0.0005,1725,RCP,Round,7275,5550,14
,manhole,412,39.05932752,-77.29870767,,,,,412,411,54,0.0005,1126,RCP,Round,8400,7275,14
